YEAR,KEY,JRO,JRO (FRONTEX-RO),FRONTEX-RO,NRO,CRO,VRD,Humanitarian VR,VDO
2006,Number of deported people,8,0,0,0,0,0,0,0
2006,Number of operations,1,0,0,0,0,0,0,0
2007,Number of deported people,428,0,0,0,0,0,0,0
2007,Number of operations,13,0,0,0,0,0,0,0
2008,Number of deported people,801,0,0,0,0,0,0,0
2008,Number of operations,15,0,0,0,0,0,0,0
2009,Number of deported people,1622,0,0,0,0,0,0,0
2009,Number of operations,32,0,0,0,0,0,0,0
2010,Number of deported people,2038,0,0,0,0,0,0,0
2010,Number of operations,39,0,0,0,0,0,0,0
2011,Number of deported people,2059,0,0,0,0,0,0,0
2011,Number of operations,39,0,0,0,0,0,0,0
2012,Number of deported people,2110,0,0,0,0,0,0,0
2012,Number of operations,38,0,0,0,0,0,0,0
2013,Number of deported people,2022,0,0,0,39,0,0,0
2013,Number of operations,36,0,0,0,2,0,0,0
2014,Number of deported people,2147,0,0,0,132,0,0,0
2014,Number of operations,41,0,0,0,4,0,0,0
2015,Number of deported people,3240,0,0,0,336,0,0,0
2015,Number of operations,57,0,0,0,7,0,0,0
2016,Number of deported people,5397,0,0,4159,652,0,0,342
2016,Number of operations,111,0,0,98,15,0,0,7
2017,Number of deported people,7495,0,0,5264,1430,0,0,0
2017,Number of operations,153,0,0,150,38,0,0,0
2018,Number of deported people,6090,0,0,3717,2438,0,0,0
2018,Number of operations,139,0,0,139,67,0,0,0
2019,Number of deported people,5247,0,0,3253,2403,0,0,0
2019,Number of operations,142,0,0,124,64,0,0,0
2020,Number of deported people,1322,0,0,4718,1281,631,0,0
2020,Number of operations,38,0,0,151,36,7,0,0
2021,Number of deported people,2323,0,0,5756,2015,99,0,0
2021,Number of operations,63,0,0,211,62,1,0,0
2022,Number of deported people,1035,0,80,5715,2391,0,698,0
2022,Number of operations,36,0,2,178,71,0,4,0
2023,Number of deported people,2689,159,0,6365,1865,247,0,0
2023,Number of operations,58,3,0,184,42,6,0,0
2024,Number of deported people,2428,0,0,7034,2072,102,0,0
2024,Number of operations,55,0,0,193,40,5,0,0
