year,eur_total,number_returned,avg_eur_per_person
2008,5474819.63,158,34650.75715189873
2009,18069426.240000002,633,28545.69706161138
2010,34743272.52,1334,26044.432173913046
2011,35327769.24,1374,25711.622445414847
2012,26685073.74,1409,18939.016139105748
2013,32683427.7,1234,26485.75988654781
2014,35025787.92,1701,20591.292134038802
2015,50969675.244,2712,18794.12803982301
2016,20206153.96,6406,3154.2544427099597
2017,25428838.83,7216,3523.9521660199553
2018,27713700.7788,6879,4028.7397556040123
2019,39666300.9881,7537,5262.876607151386
2020,22391686.5287,6242,3587.261539362384
2021,35526896.2425,7463,4760.4041595203
2022,35020529.6765,7309,4791.425595361882
2023,37507090.737,6790,5523.871978939617
2024,17001636.7229,3997,4253.599380260195
