DEST,N_RETURNEES,FX_CONTRIB,FX_CONTRIB_PP,iso
Ethiopia,10,428306.66,42830.666,ET
Somalia,18,526979.94,29276.66333333333,SO
Congo DR,12,216510,18042.5,CD
Iraq,51,738368.81,14477.81980392157,IQ
Vietnam,25,351136.2,14045.448,VN
Turkey,53,653432.82,12328.921132075471,TR
Bangladesh,124,1436098.78,11581.441774193549,BD
Ivory Coast,15,166857.2,11123.813333333334,NA
Guinea,113,1239157.54,10965.99592920354,GN
Afghanistan,1565,15333159.86,9797.546236421726,AF
Pakistan,592,5536776.35,9352.662753378378,PK
Ghana,463,4007813.37,8656.184384449245,GH
Sri Lanka,34,294263.25,8654.801470588236,LK
Nigeria,926,6235634.08,6733.946090712743,NG
Gambia,180,1016701.22,5648.340111111111,GM
Azerbaijan,405,1866924.86,4609.691012345679,AZ
Senegal,221,1003828.58,4542.210769230769,SN
Lebanon,90,340085.8,3778.731111111111,LB
Sudan,40,138947,3473.675,SD
Egypt,849,2813049.92,3313.3685747938753,EG
average across all destinations,34174,94039813.29,2751.79415023117,
Mauritania,343,916301.8300000001,2671.4339067055394,MR
Tunisia,9748,23746585.31,2436.0469132129665,TN
Armenia,979,2312388.48,2361.9902757916243,AM
Georgia,1793,4050809.43,2259.2355995538205,GE
Ukraine,335,685274.06,2045.594208955224,UA
